local_time,city,latitude,longitude,AT,RH,PM2_5,PM10
29-03-2025 14:00,Varanasi,25.306425,82.950814,41.1,7.51,18.37,54.41
29-03-2025 14:00,Varanasi,25.2799085,82.9795844,37.16,11.2,17.09,79.18
29-03-2025 15:00,Varanasi,25.310865,82.994808,,2.6,3.83,16.4
29-03-2025 15:00,Varanasi,25.306425,82.950814,41.58,7.86,15.81,52.91
29-03-2025 15:00,Varanasi,25.2799085,82.9795844,37.89,10.8,14.78,67.27
29-03-2025 16:00,Varanasi,25.310865,82.994808,,36.25,268.45,388.77
29-03-2025 16:00,Varanasi,25.306425,82.950814,39.83,8.53,17.42,81.07
29-03-2025 16:00,Varanasi,25.2799085,82.9795844,37.64,11.31,15,45.55
29-03-2025 16:00,Varanasi,25.310864,82.994804,34.49,16.92,16.4,81.2
29-03-2025 17:00,Varanasi,25.307449,83.006867,35.38,13.07,14.98,85.66
29-03-2025 17:00,Varanasi,25.310865,82.994808,,80.42,588.24,842.51
29-03-2025 17:00,Varanasi,25.306425,82.950814,36.44,10.65,15.96,86.65
29-03-2025 17:00,Varanasi,25.2799085,82.9795844,35.25,13.4,16.96,46.34
29-03-2025 17:00,Varanasi,25.310864,82.994804,34.65,17,15.09,85.57
29-03-2025 18:00,Varanasi,25.307449,83.006867,33.77,15.7,30.68,77.05
29-03-2025 18:00,Varanasi,25.310865,82.994808,,83.64,611.27,874.84
29-03-2025 18:00,Varanasi,25.306425,82.950814,32.7,14.95,29.35,74.61
29-03-2025 18:00,Varanasi,25.2799085,82.9795844,32.03,16.8,32.57,59.9
29-03-2025 18:00,Varanasi,25.310864,82.994804,34.09,19.09,26.9,73.04
29-03-2025 19:00,Varanasi,25.307449,83.006867,32.38,16.95,41.19,109.26
29-03-2025 19:00,Varanasi,25.310865,82.994808,,86.79,636.06,910.4
29-03-2025 19:00,Varanasi,25.306425,82.950814,30.85,16.43,38.02,106.1
29-03-2025 19:00,Varanasi,25.2799085,82.9795844,30.4,18.04,36.67,71.41
29-03-2025 19:00,Varanasi,25.310864,82.994804,33.11,19.86,39.62,107.6
29-03-2025 20:00,Varanasi,25.307449,83.006867,31.28,17.4,36.13,164.81
29-03-2025 20:00,Varanasi,25.310865,82.994808,,82.58,603.19,866.59
29-03-2025 20:00,Varanasi,25.306425,82.950814,29.3,18.11,31.99,161.08
29-03-2025 20:00,Varanasi,25.2799085,82.9795844,29.31,19.16,42.39,78.87
29-03-2025 20:00,Varanasi,25.310864,82.994804,32.03,20.3,40.06,168.44
29-03-2025 21:00,Varanasi,25.307449,83.006867,30.91,17.43,43.03,163.2
29-03-2025 21:00,Varanasi,25.310865,82.994808,,54.4,380.92,563.49
29-03-2025 21:00,Varanasi,25.306425,82.950814,28.15,19.45,37.65,143.56
29-03-2025 21:00,Varanasi,25.2799085,82.9795844,28.56,19.31,42.6,88.96
29-03-2025 21:00,Varanasi,25.310864,82.994804,31.16,20.67,45.13,165.71
29-03-2025 22:00,Varanasi,25.307449,83.006867,30.82,18.6,42.92,152.48
29-03-2025 22:00,Varanasi,25.310865,82.994808,,56.69,397.46,583.77
29-03-2025 22:00,Varanasi,25.306425,82.950814,27.68,19.86,40.65,150.25
29-03-2025 22:00,Varanasi,25.2799085,82.9795844,27.65,20.52,42.39,65.56
29-03-2025 22:00,Varanasi,25.310864,82.994804,30.35,21.07,52.56,162.01
29-03-2025 23:00,Varanasi,25.307449,83.006867,30.4,18.49,39.51,143.45
29-03-2025 23:00,Varanasi,25.310865,82.994808,,89.73,658.15,942.32
29-03-2025 23:00,Varanasi,25.306425,82.950814,26.15,22.01,32.65,136.36
29-03-2025 23:00,Varanasi,25.2799085,82.9795844,26.62,23.51,40.13,62.5
29-03-2025 23:00,Varanasi,25.310864,82.994804,29.71,21.74,44.33,148.13
30-03-2025 00:00,Varanasi,25.307449,83.006867,29.29,19.65,39.99,150.13
30-03-2025 00:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 00:00,Varanasi,25.306425,82.950814,25.12,24.72,36.7,146.72
30-03-2025 00:00,Varanasi,25.2799085,82.9795844,25.56,26.32,39.72,60.56
30-03-2025 00:00,Varanasi,25.310864,82.994804,28.99,22.74,46.49,156.63
30-03-2025 01:00,Varanasi,25.307449,83.006867,28.57,21.59,40.54,131.62
30-03-2025 01:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 01:00,Varanasi,25.306425,82.950814,24.1,26.99,41.07,132.65
30-03-2025 01:00,Varanasi,25.2799085,82.9795844,24.8,27.76,41.89,59.99
30-03-2025 01:00,Varanasi,25.310864,82.994804,28.27,24.36,48.22,139.27
30-03-2025 02:00,Varanasi,25.307449,83.006867,27.94,22.68,36.04,120.24
30-03-2025 02:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 02:00,Varanasi,25.306425,82.950814,23.55,27.98,38.69,121.06
30-03-2025 02:00,Varanasi,25.2799085,82.9795844,23.93,29.48,38.25,52.28
30-03-2025 02:00,Varanasi,25.310864,82.994804,27.62,25.56,42.75,126.94
30-03-2025 03:00,Varanasi,25.307449,83.006867,27.37,24.2,34.69,111.15
30-03-2025 03:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 03:00,Varanasi,25.306425,82.950814,22.89,29.09,29.28,105.72
30-03-2025 03:00,Varanasi,25.2799085,82.9795844,23.39,30.14,37.95,50.34
30-03-2025 03:00,Varanasi,25.310864,82.994804,26.98,26.98,32.5,108.97
30-03-2025 04:00,Varanasi,25.307449,83.006867,26.9,25.86,30,84.95
30-03-2025 04:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 04:00,Varanasi,25.306425,82.950814,22.13,31.46,30,84.86
30-03-2025 04:00,Varanasi,25.2799085,82.9795844,22.77,32.02,33.3,45.24
30-03-2025 04:00,Varanasi,25.310864,82.994804,26.47,28.65,36.88,91.83
30-03-2025 05:00,Varanasi,25.307449,83.006867,26.12,27.76,26.8,82.44
30-03-2025 05:00,Varanasi,25.310865,82.994808,,69.37,451.64,651.04
30-03-2025 05:00,Varanasi,25.306425,82.950814,21.59,33.14,33.14,88.78
30-03-2025 05:00,Varanasi,25.2799085,82.9795844,22.17,33.7,35.6,47.53
30-03-2025 05:00,Varanasi,25.310864,82.994804,25.96,29.78,44.33,94.46
30-03-2025 06:00,Varanasi,25.307449,83.006867,25.81,28.85,33.41,99.11
30-03-2025 06:00,Varanasi,25.310865,82.994808,,38.59,228.4,341.39
30-03-2025 06:00,Varanasi,25.306425,82.950814,21.54,33.83,33.41,99.1
30-03-2025 06:00,Varanasi,25.2799085,82.9795844,21.95,34.51,34.57,90.69
30-03-2025 06:00,Varanasi,25.310864,82.994804,25.64,30.9,38.05,104.2
30-03-2025 07:00,Varanasi,25.307449,83.006867,26.63,27.76,36.32,119.77
30-03-2025 07:00,Varanasi,25.310865,82.994808,,84.66,613.63,879.6
30-03-2025 07:00,Varanasi,25.306425,82.950814,22.9,31.7,34.38,118.08
30-03-2025 07:00,Varanasi,25.2799085,82.9795844,22.66,33.87,38.38,62.5
30-03-2025 07:00,Varanasi,25.310864,82.994804,25.95,30.83,36.57,120.8
30-03-2025 08:00,Varanasi,25.307449,83.006867,28.33,27.11,38.54,139.13
30-03-2025 08:00,Varanasi,25.310865,82.994808,,91.93,674.65,964.91
30-03-2025 08:00,Varanasi,25.306425,82.950814,26.68,27.47,36.63,137.27
30-03-2025 08:00,Varanasi,25.2799085,82.9795844,24.84,32.36,43.77,75.67
30-03-2025 08:00,Varanasi,25.310864,82.994804,27.78,30.5,33.04,133.65
30-03-2025 09:00,Varanasi,25.307449,83.006867,31.36,23.31,38.72,133.12
30-03-2025 09:00,Varanasi,25.310865,82.994808,,83.92,611.51,876.62
30-03-2025 09:00,Varanasi,25.306425,82.950814,30.1,22.76,38.1,132.47
30-03-2025 09:00,Varanasi,25.2799085,82.9795844,27.71,28.03,34.86,59.91
30-03-2025 09:00,Varanasi,25.310864,82.994804,30.45,27.76,33.09,127.53
30-03-2025 10:00,Varanasi,25.307449,83.006867,34.56,19.11,36.24,113.75
30-03-2025 10:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 10:00,Varanasi,25.306425,82.950814,33.19,18.21,38.96,116.26
30-03-2025 10:00,Varanasi,25.2799085,82.9795844,30.45,22.89,34.3,64.56
30-03-2025 10:00,Varanasi,25.310864,82.994804,32.53,24.01,34.13,111.64
30-03-2025 11:00,Varanasi,25.307449,83.006867,37.46,15.94,27.16,124.19
30-03-2025 11:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 11:00,Varanasi,25.306425,82.950814,36.4,14.97,26.52,123.57
30-03-2025 11:00,Varanasi,25.2799085,82.9795844,33.13,19.56,26.32,52.87
30-03-2025 11:00,Varanasi,25.310864,82.994804,34.26,21.78,27.13,124.19
30-03-2025 12:00,Varanasi,25.307449,83.006867,39.43,13.16,29.93,120.94
30-03-2025 12:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 12:00,Varanasi,25.306425,82.950814,38.24,12.35,25.24,116.17
30-03-2025 12:00,Varanasi,25.2799085,82.9795844,34.98,16.49,21.52,49.92
30-03-2025 12:00,Varanasi,25.310864,82.994804,36.51,18.91,22.78,113.7
30-03-2025 13:00,Varanasi,25.307449,83.006867,41.54,11.35,16.57,70.38
30-03-2025 13:00,Varanasi,25.310865,82.994808,,95,700,1000
30-03-2025 13:00,Varanasi,25.306425,82.950814,39.94,10.98,17.19,72.64
30-03-2025 13:00,Varanasi,25.2799085,82.9795844,36.4,14.65,17.01,41.86
30-03-2025 13:00,Varanasi,25.310864,82.994804,38.59,17.32,18.53,73.87
30-03-2025 14:00,Varanasi,25.307449,83.006867,42.53,11.03,16.27,34.71
30-03-2025 14:00,Varanasi,25.310865,82.994808,,66.92,488.21,698.37
30-03-2025 14:00,Varanasi,25.306425,82.950814,41.39,10.15,17.31,37.22
30-03-2025 14:00,Varanasi,25.2799085,82.9795844,38.17,13.63,16.95,41.18
30-03-2025 14:00,Varanasi,25.310864,82.994804,40.46,16.38,18.1,38.87
30-03-2025 15:00,Varanasi,25.307449,83.006867,41.93,10.49,14.31,58.19
30-03-2025 15:00,Varanasi,25.310865,82.994808,,44.44,315.89,458.3
30-03-2025 15:00,Varanasi,25.306425,82.950814,41.96,9.23,13.97,56.76
30-03-2025 15:00,Varanasi,25.2799085,82.9795844,39.29,12.43,16.14,34.55
30-03-2025 15:00,Varanasi,25.310864,82.994804,39.31,16.02,17.82,60.85
30-03-2025 16:00,Varanasi,25.307449,83.006867,40.83,11.28,13.64,50
30-03-2025 16:00,Varanasi,25.310865,82.994808,,36.12,253.06,367.58
30-03-2025 16:00,Varanasi,25.306425,82.950814,40.39,10.23,13.46,49.79
30-03-2025 16:00,Varanasi,25.2799085,82.9795844,38.99,12.51,15.09,34.17
30-03-2025 16:00,Varanasi,25.310864,82.994804,35.81,18.64,17.38,53.38
30-03-2025 17:00,Varanasi,25.307449,83.006867,37.74,13.72,14.01,34.78
30-03-2025 17:00,Varanasi,25.310865,82.994808,,62.3,447.77,641.35
30-03-2025 17:00,Varanasi,25.306425,82.950814,36.9,12.73,14.13,34.56
30-03-2025 17:00,Varanasi,25.2799085,82.9795844,36.29,14.76,16.92,32.33
30-03-2025 17:00,Varanasi,25.310864,82.994804,34.62,20.39,15.55,35.42
30-03-2025 18:00,Varanasi,25.307449,83.006867,34.71,17.46,28.52,84.21
30-03-2025 18:00,Varanasi,25.310865,82.994808,,48.63,341.89,494.28
30-03-2025 18:00,Varanasi,25.306425,82.950814,33.76,17.36,28.86,83.54
30-03-2025 18:00,Varanasi,25.2799085,82.9795844,32.84,19.75,32.25,52.24
30-03-2025 18:00,Varanasi,25.310864,82.994804,33.48,23.11,30.39,86.08
30-03-2025 19:00,Varanasi,25.307449,83.006867,33.26,20.22,38.54,114.7
30-03-2025 19:00,Varanasi,25.310865,82.994808,,53.57,376.44,545.55
30-03-2025 19:00,Varanasi,25.306425,82.950814,31.6,20.71,39.81,116.08
30-03-2025 19:00,Varanasi,25.2799085,82.9795844,31.14,23.45,42.02,66.27
30-03-2025 19:00,Varanasi,25.310864,82.994804,32.71,24.95,35.01,111.55
30-03-2025 20:00,Varanasi,25.307449,83.006867,32.45,22.34,43.67,146.31
30-03-2025 20:00,Varanasi,25.310865,82.994808,,50.61,353.35,514.38
30-03-2025 20:00,Varanasi,25.306425,82.950814,30.25,22.89,44.96,146.47
30-03-2025 20:00,Varanasi,25.2799085,82.9795844,30.17,24.4,43.9,74.84
30-03-2025 20:00,Varanasi,25.310864,82.994804,32.02,25.86,40.67,141.7
30-03-2025 21:00,Varanasi,25.307449,83.006867,31.93,21.93,56.54,149.99
30-03-2025 21:00,Varanasi,25.310865,82.994808,,47.42,326.27,476.32
30-03-2025 21:00,Varanasi,25.306425,82.950814,29.07,24.75,48.77,141.96
30-03-2025 21:00,Varanasi,25.2799085,82.9795844,29.45,25.01,47.67,72.1
30-03-2025 21:00,Varanasi,25.310864,82.994804,31.37,26.6,43.65,136.77
30-03-2025 22:00,Varanasi,25.307449,83.006867,31.69,21.94,61.58,143.48
30-03-2025 22:00,Varanasi,25.310865,82.994808,,63.8,452.31,653.38
30-03-2025 22:00,Varanasi,25.306425,82.950814,27.84,27.33,46.92,121.41
30-03-2025 22:00,Varanasi,25.2799085,82.9795844,28.75,25.55,45.68,70.48
30-03-2025 22:00,Varanasi,25.310864,82.994804,30.86,26.52,37.71,119.71
30-03-2025 23:00,Varanasi,25.307449,83.006867,31.86,22.42,47.83,125.44
30-03-2025 23:00,Varanasi,25.310865,82.994808,,60.82,430.43,618.71
30-03-2025 23:00,Varanasi,25.306425,82.950814,26.76,29.2,48.97,126.49
30-03-2025 23:00,Varanasi,25.2799085,82.9795844,27.77,28.05,49.43,69.55
30-03-2025 23:00,Varanasi,25.310864,82.994804,30.24,26.93,42.29,119.83
31-03-2025 00:00,Varanasi,25.307449,83.006867,30.8,24.01,50.36,149.03
31-03-2025 00:00,Varanasi,25.310865,82.994808,,72.29,518.6,747.27
31-03-2025 00:00,Varanasi,25.306425,82.950814,25.62,31.1,51.91,149.69
31-03-2025 00:00,Varanasi,25.2799085,82.9795844,26.53,31.53,50.39,138.2
31-03-2025 00:00,Varanasi,25.310864,82.994804,29.72,27.32,61.53,159.21
31-03-2025 01:00,Varanasi,25.307449,83.006867,30.31,24.83,51.75,150.46
31-03-2025 01:00,Varanasi,25.310865,82.994808,,63.19,427.96,621.34
31-03-2025 01:00,Varanasi,25.306425,82.950814,24.83,33.2,49.27,144.15
31-03-2025 01:00,Varanasi,25.2799085,82.9795844,25.63,33.16,57.15,159.26
31-03-2025 01:00,Varanasi,25.310864,82.994804,29.17,28.01,68.43,162.11
31-03-2025 02:00,Varanasi,25.307449,83.006867,29.34,26.26,53.28,149.32
31-03-2025 02:00,Varanasi,25.310865,82.994808,,87.25,628.7,901.16
31-03-2025 02:00,Varanasi,25.2799085,82.9795844,24.86,34.43,55.13,152.18
31-03-2025 02:00,Varanasi,25.310864,82.994804,28.17,29.87,61.17,154.73
31-03-2025 03:00,Varanasi,25.307449,83.006867,28.7,26.88,43.34,147.79
31-03-2025 03:00,Varanasi,25.310865,82.994808,,83.21,603.43,865.88
31-03-2025 03:00,Varanasi,25.2799085,82.9795844,24.28,33.83,49.35,127.32
31-03-2025 03:00,Varanasi,25.310864,82.994804,27.14,31.62,60.85,164.87
31-03-2025 04:00,Varanasi,25.307449,83.006867,28.33,26.49,45.07,157.2
31-03-2025 04:00,Varanasi,25.310865,82.994808,,78.72,564.57,813.23
31-03-2025 04:00,Varanasi,25.2799085,82.9795844,23.81,32.84,52.6,119.35
31-03-2025 04:00,Varanasi,25.310864,82.994804,27.02,30.8,58.09,160.24
31-03-2025 05:00,Varanasi,25.307449,83.006867,27.54,27.6,42.21,159.5
31-03-2025 05:00,Varanasi,25.310865,82.994808,,93.79,689.76,986.02
31-03-2025 05:00,Varanasi,25.2799085,82.9795844,23.26,35.06,42.96,105.16
31-03-2025 05:00,Varanasi,25.310864,82.994804,26.6,31.76,53.95,171.02
31-03-2025 06:00,Varanasi,25.307449,83.006867,26.98,29.59,50.33,171.19
31-03-2025 06:00,Varanasi,25.310865,82.994808,,95,700,1000
31-03-2025 06:00,Varanasi,25.2799085,82.9795844,22.86,37.38,51.64,107.6
31-03-2025 06:00,Varanasi,25.310864,82.994804,26.18,33.77,41.2,162.14
31-03-2025 07:00,Varanasi,25.307449,83.006867,28.01,30.53,52.64,216.97
31-03-2025 07:00,Varanasi,25.310865,82.994808,,90.4,657.27,946.21
31-03-2025 07:00,Varanasi,25.2799085,82.9795844,23.5,37.55,46.92,106.46
31-03-2025 07:00,Varanasi,25.310864,82.994804,26.85,33.89,46.19,208.59
31-03-2025 08:00,Varanasi,25.307449,83.006867,29.76,27.86,57.56,189.29
31-03-2025 08:00,Varanasi,25.310865,82.994808,,88.81,660.68,946.71
31-03-2025 08:00,Varanasi,25.306425,82.950814,27.97,30.5,57.24,187.44
31-03-2025 08:00,Varanasi,25.2799085,82.9795844,25.72,36.5,50.34,122.5
31-03-2025 08:00,Varanasi,25.310864,82.994804,28.84,32.63,50.94,182.66
31-03-2025 09:00,Varanasi,25.307449,83.006867,32.76,25.57,54.44,160.44
31-03-2025 09:00,Varanasi,25.310865,82.994808,,52.69,366.24,533.02
31-03-2025 09:00,Varanasi,25.306425,82.950814,32.74,24.05,48.83,154.77
31-03-2025 09:00,Varanasi,25.2799085,82.9795844,29.19,31.33,59.3,124.56
31-03-2025 09:00,Varanasi,25.310864,82.994804,31.25,31.36,47.39,154.35
